block_id,Company_Profile,Industry_Sector,Annual_TEU,Cost_per_TEU,Distance_CH,Mode_Decider,Existing_Mode,Secondary_Modes,Reasons_Current,Use_Intermodal_12m,Intermodal_Frequency,NonUser_Reasons,StopUsing_Reasons,User_Reasons,Factor_Cost,Factor_Time,Factor_Frequency,Factor_Punctuality,Factor_Accessibility,Factor_CO2,Factor_Flexibility,Factor_Security,Factor_Tracking,Factor_Booking,Trust_Intermodal,Cost_Perception,Risk_Damage,Sustainability_Importance,Pay_Premium_CO2,Policy_Encouragement,Govt_Influence,SP_Task1,SP_Task2,SP_Task3,SP_Task4,SP_Task5,SP_Task6,SP_Task7,SP_Task8,SP_Task9_Dominance,SP_Task10_Consistency
1,Manufacturer,Chemicals,100 – 500,"500 – 1,000",200–350 km,"Operations Manager, Procurement / Purchasing",Other,Multimodal,"Cost efficiency, Regulatory compliance",No,,Delays,,,5,5,3,4,5,4,4,3,3,4,4,3,3,4,4,"Carbon tax on road transport, Investment in rail infrastructure, Other, Priority access for time-sensitive freight",4,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
2,"Manufacturer, Intermodal Operator (Rail, Terminal)",Food & Beverage,"500 – 1,000","500 – 1,000",< 100 km,Procurement / Purchasing,Other,None,"Flexibility, Regulatory compliance",No,,"Need last-mile road, Cost is too high",,,3,4,4,4,3,4,3,4,4,3,3,4,3,4,4,"Branch-specific intermodal services, Carbon tax on road transport, Priority access for time-sensitive freight",4,Other,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
3,Manufacturer,Perishable goods,"> 1,000","1,000 – 2,000",> 350 km,"Other, CEO / Senior Executive",Road,None,"Regulatory compliance, Technological integration (tracking, digital booking), Cost efficiency",Yes,Regularly (6+/yr),,,Improved reliability,4,4,4,4,3,3,5,3,4,3,3,3,4,4,4,"Branch-specific intermodal services, Digital freight platforms for easier booking, Other, Priority access for time-sensitive freight, Subsidies for rail transport",4,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
1,"Manufacturer, Freight Forwarder (3PL/4PL)",Perishable goods,100 – 500,"500 – 1,000",> 350 km,Operations Manager,Road,None,"Cost efficiency, Transit time / Speed, Regulatory compliance",Yes,Regularly (6+/yr),,,"Appropriate transport time, Cost savings, Environmental benefits",3,4,4,5,3,3,4,2,4,4,3,4,2,2,3,"Carbon tax on road transport, Investment in rail infrastructure, More flexible rail schedules",4,Road,Intermodal,Intermodal,Intermodal,Intermodal,Intermodal,Road,Road,Intermodal,Intermodal
2,Manufacturer,Perishable goods,100 – 500,< 500,200–350 km,"Procurement / Purchasing, CEO / Senior Executive",Road,None,"Transit time / Speed, Accessibility (terminal/first-last mile)",Yes,Occasionally (1–5/yr),,Complex coordination with rail operators,"Cost savings, Improved reliability",4,5,4,4,4,3,3,3,3,2,4,4,4,2,3,"Digital freight platforms for easier booking, Investment in rail infrastructure",3,Road,Road,Intermodal,Intermodal,Intermodal,Road,Road,Intermodal,Intermodal,Road
3,"Other, Freight Forwarder (3PL/4PL)",Perishable goods,"500 – 1,000",< 500,200–350 km,"Logistics / Supply Chain Manager, Procurement / Purchasing",Multimodal,None,"Technological integration (tracking, digital booking), Sustainability (CO₂), Regulatory compliance, Cost efficiency",Yes,Occasionally (1–5/yr),,,"Cost savings, Environmental benefits",5,4,3,4,3,2,4,3,2,3,2,2,2,3,3,"Carbon tax on road transport, Digital freight platforms for easier booking, More flexible rail schedules, Subsidies for rail transport",3,Road,Road,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
1,"Intermodal Operator (Rail, Terminal), Freight Forwarder (3PL/4PL)",Automotive,100 – 500,< 500,200–350 km,"CEO / Senior Executive, Procurement / Purchasing",Road,None,"Accessibility (terminal/first-last mile), Flexibility, Sustainability (CO₂), Reliability (on-time)",Yes,Occasionally (1–5/yr),,,"Improved reliability, Cost savings",5,4,3,5,4,2,5,4,4,5,4,3,3,4,4,"Branch-specific intermodal services, Investment in rail infrastructure, Other, Priority access for time-sensitive freight",2,Road,Road,Intermodal,Intermodal,Intermodal,Intermodal,Road,Road,Intermodal,Road
2,Other,Chemicals,"> 1,000","500 – 1,000",200–350 km,Procurement / Purchasing,Other,None,"Accessibility (terminal/first-last mile), Regulatory compliance",Yes,Regularly (6+/yr),,Other,"Other, Appropriate transport time",3,2,4,4,3,4,4,2,3,4,4,2,3,5,5,"Branch-specific intermodal services, Digital freight platforms for easier booking, Subsidies for rail transport",4,Road,Intermodal,Intermodal,Road,Intermodal,Other,Road,Intermodal,Intermodal,Intermodal
3,"Manufacturer, Freight Forwarder (3PL/4PL)",Consumer Goods,100 – 500,"500 – 1,000",< 100 km,"CEO / Senior Executive, Procurement / Purchasing",Road,None,"Sustainability (CO₂), Risk avoidance, Cost efficiency, Accessibility (terminal/first-last mile)",Yes,Occasionally (1–5/yr),,Complex coordination with rail operators,Environmental benefits,4,4,5,5,3,3,3,4,3,4,3,4,2,3,3,"Carbon tax on road transport, Investment in rail infrastructure",3,Intermodal,Road,Road,Road,Intermodal,Road,Road,Intermodal,Intermodal,Road
1,"Other, Retailer/Wholesaler",Chemicals,100 – 500,< 500,< 100 km,CEO / Senior Executive,Road,None,"Reliability (on-time), Sustainability (CO₂)",Yes,Occasionally (1–5/yr),,,Customised service,4,5,4,4,4,4,3,4,4,5,5,2,3,4,4,"Branch-specific intermodal services, Priority access for time-sensitive freight",3,Road,Road,Intermodal,Intermodal,Intermodal,Intermodal,Other,Other,Intermodal,Road
2,Retailer/Wholesaler,Industrial Equipment,100 – 500,"500 – 1,000",100–200 km,"Procurement / Purchasing, Other",Road,None,"Regulatory compliance, Transit time / Speed, Technological integration (tracking, digital booking), Reliability (on-time)",Yes,Regularly (6+/yr),,"Other, High costs","Cost savings, Other, Appropriate transport time",3,5,3,3,5,4,5,4,4,4,4,5,4,2,3,"Digital freight platforms for easier booking, Other, Priority access for time-sensitive freight, Subsidies for rail transport",4,Road,Intermodal,Intermodal,Other,Intermodal,Intermodal,Road,Intermodal,Intermodal,Intermodal
3,"Intermodal Operator (Rail, Terminal)",Food & Beverage,< 100,"500 – 1,000",200–350 km,CEO / Senior Executive,Road,None,"Reliability (on-time), Regulatory compliance",No,,Cost is too high,,,5,4,2,4,4,3,4,3,5,4,4,3,3,4,4,"Carbon tax on road transport, More flexible rail schedules",3,Road,Road,Road,Road,Intermodal,Intermodal,Road,Road,Intermodal,Road
1,"Intermodal Operator (Rail, Terminal), Retailer/Wholesaler",Industrial Equipment,< 100,< 500,100–200 km,Operations Manager,Road,Road,"Flexibility, Technological integration (tracking, digital booking), Sustainability (CO₂), Accessibility (terminal/first-last mile)",No,,Delays,,,3,3,4,4,2,3,3,5,2,2,4,4,3,3,3,"Investment in rail infrastructure, More flexible rail schedules, Priority access for time-sensitive freight, Subsidies for rail transport",3,Intermodal,Road,Intermodal,Road,Road,Intermodal,Other,Intermodal,Intermodal,Road
2,"Intermodal Operator (Rail, Terminal), Manufacturer",Other,"500 – 1,000","500 – 1,000",100–200 km,"CEO / Senior Executive, Logistics / Supply Chain Manager",Road,None,"Transit time / Speed, Technological integration (tracking, digital booking)",Yes,Occasionally (1–5/yr),,,"Other, Environmental benefits, Appropriate transport time",3,4,4,3,4,2,4,4,3,5,3,3,3,4,4,"Digital freight platforms for easier booking, Subsidies for rail transport",4,Road,Road,Intermodal,Intermodal,Intermodal,Other,Road,Road,Intermodal,Road
3,"Intermodal Operator (Rail, Terminal)",Perishable goods,"> 1,000",< 500,> 350 km,Logistics / Supply Chain Manager,Multimodal,None,"Accessibility (terminal/first-last mile), Cost efficiency, Technological integration (tracking, digital booking)",Yes,Occasionally (1–5/yr),,,"Environmental benefits, Improved reliability, Other",5,4,3,5,4,4,4,3,4,4,4,3,5,2,3,"Investment in rail infrastructure, Other",2,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
1,Retailer/Wholesaler,Food & Beverage,"> 1,000","1,000 – 2,000",200–350 km,Procurement / Purchasing,Multimodal,None,"Risk avoidance, Flexibility",Yes,Regularly (6+/yr),,,"Environmental benefits, Customised service",4,5,4,4,5,3,3,3,4,3,3,4,3,4,4,"Carbon tax on road transport, More flexible rail schedules, Subsidies for rail transport",3,Road,Intermodal,Intermodal,Road,Intermodal,Road,Road,Intermodal,Intermodal,Intermodal
2,"Freight Forwarder (3PL/4PL), Other",Chemicals,< 100,< 500,< 100 km,Other,Road,Multimodal,"Cost efficiency, Sustainability (CO₂), Flexibility",No,,Terminal access inconvenient,,,3,4,3,4,4,4,4,4,3,4,5,3,3,4,4,"More flexible rail schedules, Subsidies for rail transport",2,Intermodal,Intermodal,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Road,Intermodal
3,Manufacturer,Food & Beverage,"500 – 1,000","500 – 1,000",100–200 km,"Logistics / Supply Chain Manager, Operations Manager",Road,None,"Transit time / Speed, Sustainability (CO₂)",Yes,Regularly (6+/yr),,,"Other, Customised service, Improved reliability",5,3,3,3,5,4,4,3,3,3,5,4,2,5,4,"Carbon tax on road transport, Priority access for time-sensitive freight",4,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
1,"Intermodal Operator (Rail, Terminal)",Automotive,100 – 500,"500 – 1,000",< 100 km,"Logistics / Supply Chain Manager, CEO / Senior Executive",Road,None,"Flexibility, Regulatory compliance, Reliability (on-time)",Yes,Regularly (6+/yr),,,"Other, Environmental benefits",4,4,4,5,3,3,5,4,3,3,3,4,2,4,4,"Branch-specific intermodal services, Carbon tax on road transport, Other, Subsidies for rail transport",3,Other,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road,Other,Intermodal,Intermodal
2,"Manufacturer, Freight Forwarder (3PL/4PL)",Food & Beverage,"500 – 1,000","500 – 1,000",< 100 km,"Logistics / Supply Chain Manager, CEO / Senior Executive",Road,None,"Transit time / Speed, Risk avoidance, Cost efficiency",Yes,Regularly (6+/yr),,,"Other, Customised service",3,3,4,5,4,4,2,3,3,2,3,1,2,4,4,"Carbon tax on road transport, Digital freight platforms for easier booking, Priority access for time-sensitive freight",4,Road,Other,Intermodal,Intermodal,Intermodal,Road,Road,Intermodal,Intermodal,Other
3,"Intermodal Operator (Rail, Terminal), Manufacturer",Food & Beverage,100 – 500,< 500,100–200 km,Logistics / Supply Chain Manager,Road,Road,"Cost efficiency, Transit time / Speed, Accessibility (terminal/first-last mile), Sustainability (CO₂)",Yes,Occasionally (1–5/yr),,,Customised service,4,3,5,5,5,3,2,2,5,3,3,4,4,4,4,"Branch-specific intermodal services, Digital freight platforms for easier booking",4,Road,Intermodal,Intermodal,Intermodal,Intermodal,Road,Intermodal,Intermodal,Intermodal,Intermodal
1,Other,Food & Beverage,100 – 500,"500 – 1,000",> 350 km,"Logistics / Supply Chain Manager, CEO / Senior Executive",Road,"Multimodal, Road","Flexibility, Transit time / Speed, Accessibility (terminal/first-last mile), Reliability (on-time)",Yes,Regularly (6+/yr),,,Appropriate transport time,4,5,4,4,3,5,4,3,5,4,5,2,3,4,4,"Branch-specific intermodal services, More flexible rail schedules",4,Road,Road,Intermodal,Intermodal,Intermodal,Intermodal,Road,Road,Intermodal,Road
2,"Intermodal Operator (Rail, Terminal)",Consumer Goods,"500 – 1,000","500 – 1,000",100–200 km,Logistics / Supply Chain Manager,Multimodal,None,"Regulatory compliance, Reliability (on-time), Transit time / Speed, Sustainability (CO₂)",Yes,Occasionally (1–5/yr),,"Damage/loss concerns, Complex coordination with rail operators",Customised service,3,3,4,5,4,5,4,3,4,4,4,5,2,5,4,"Priority access for time-sensitive freight, Subsidies for rail transport",4,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Intermodal,Road
3,"Other, Intermodal Operator (Rail, Terminal)",Dangerous goods,100 – 500,< 500,< 100 km,"Logistics / Supply Chain Manager, Other",Multimodal,Road,"Sustainability (CO₂), Transit time / Speed",No,,"Lack of tracking, Transit time too long",,,4,4,4,4,4,3,4,3,4,4,3,3,3,3,2,"Carbon tax on road transport, Investment in rail infrastructure, Priority access for time-sensitive freight",5,Road,Road,Intermodal,Intermodal,Road,Intermodal,Road,Intermodal,Intermodal,Road
1,Retailer/Wholesaler,Perishable goods,"> 1,000","1,000 – 2,000",100–200 km,Other,Road,Road,"Transit time / Speed, Technological integration (tracking, digital booking), Risk avoidance, Cost efficiency",No,,Cost is too high,,,3,4,3,4,3,2,3,4,3,4,4,2,3,4,4,"Carbon tax on road transport, Digital freight platforms for easier booking, More flexible rail schedules, Subsidies for rail transport",4,Road,Intermodal,Intermodal,Intermodal,Intermodal,Road,Road,Other,Intermodal,Intermodal
2,"Intermodal Operator (Rail, Terminal), Freight Forwarder (3PL/4PL)",Other,"500 – 1,000",< 500,< 100 km,Procurement / Purchasing,Road,Road,"Technological integration (tracking, digital booking), Cost efficiency",No,,Damage/loss,,,3,5,4,5,4,2,5,3,4,3,5,2,3,4,4,"Branch-specific intermodal services, Carbon tax on road transport, Investment in rail infrastructure, Priority access for time-sensitive freight",1,Other,Road,Intermodal,Road,Intermodal,Intermodal,Road,Other,Intermodal,Road
3,"Intermodal Operator (Rail, Terminal), Retailer/Wholesaler",Dangerous goods,"> 1,000","500 – 1,000",> 350 km,CEO / Senior Executive,Multimodal,None,"Transit time / Speed, Accessibility (terminal/first-last mile), Risk avoidance",No,,"Rail schedules not flexible, Terminal access inconvenient",,,4,5,5,4,3,4,4,2,3,4,5,4,3,4,4,"Digital freight platforms for easier booking, Investment in rail infrastructure, More flexible rail schedules, Other, Subsidies for rail transport",3,Road,Road,Intermodal,Road,Intermodal,Intermodal,Road,Other,Intermodal,Road
1,Manufacturer,Chemicals,100 – 500,"1,000 – 2,000",100–200 km,Procurement / Purchasing,Multimodal,Road,"Sustainability (CO₂), Regulatory compliance",Yes,Occasionally (1–5/yr),,,"Environmental benefits, Appropriate transport time",4,4,4,5,3,4,4,4,3,2,3,2,2,4,4,"Branch-specific intermodal services, Digital freight platforms for easier booking, Investment in rail infrastructure, Priority access for time-sensitive freight",2,Road,Road,Intermodal,Intermodal,Intermodal,Intermodal,Road,Road,Intermodal,Road
2,"Other, Freight Forwarder (3PL/4PL)",Food & Beverage,"> 1,000","1,000 – 2,000",> 350 km,Other,Multimodal,None,"Accessibility (terminal/first-last mile), Regulatory compliance",Yes,Regularly (6+/yr),,"Long transit time, Complex coordination with rail operators","Environmental benefits, Appropriate transport time, Cost savings",4,5,3,4,2,5,5,4,5,3,4,2,3,5,4,"Carbon tax on road transport, Investment in rail infrastructure, Subsidies for rail transport",4,Intermodal,Road,Intermodal,Intermodal,Road,Intermodal,Road,Intermodal,Intermodal,Road
3,"Manufacturer, Freight Forwarder (3PL/4PL)",Consumer Goods,"500 – 1,000","1,000 – 2,000",100–200 km,"Operations Manager, CEO / Senior Executive",Multimodal,None,"Flexibility, Regulatory compliance, Reliability (on-time)",No,,"Transit time too long, Cost is too high",,,5,4,4,5,4,4,4,3,4,3,3,2,4,5,4,"Digital freight platforms for easier booking, Other, Subsidies for rail transport",3,Intermodal,Intermodal,Intermodal,Intermodal,Intermodal,Road,Road,Road,Intermodal,Intermodal
